0,50_01,50_02,50_03,50_04,50_05,100_01,100_02,100_03,100_04,100_05,150_01,150_02,150_03,150_04,150_05,200_01,200_02,200_03,200_04,200_05,250_01,250_02,250_03,250_04,250_05,300_01,300_02,300_03,300_04,300_05,350_01,350_02,350_03,350_04,350_05,400_01,400_02,400_03,400_04,400_05,450_01,450_02,450_03,450_04,450_05,500_01,500_02,500_03,500_04,500_05,550_01,550_02,550_03,550_04,550_05,600_01,600_02,600_03,600_04,600_05
1.37,1.419,1.429,1.277,1.575,1.67,1.755,1.634,1.213,1.883,1.281,1.549,1.913,1.646,1.056,1.701,1.305,1.913,1.582,1.34,2.165,1.654,1.675,1.631,1.42,2.034,1.68,1.88,1.643,1.8,1.672,1.665,1.613,1.926,2.459,2.976,2.119,1.863,2.236,2.422,1.346,1.077,2.465,2.099,2.351,3.623,2.071,2.547,2.735,1.932,4.512,3.296,2.84,2.324,2.197,2.297,2.806,2.863,2.458,2.091,2.441
1.373,1.359,1.408,1.217,1.576,1.691,1.508,1.495,1.463,1.644,1.153,1.611,1.678,1.716,1.349,1.813,1.313,1.678,1.696,1.751,1.502,1.636,1.911,1.5,1.525,2.114,1.631,1.929,1.767,1.928,2.513,1.948,2.113,1.689,2.5,2.18,2.02,2.311,2.303,2.825,2.36,2.438,1.968,2.366,2.289,2.524,2.155,3.017,2.469,2.79,3.069,2.413,2.276,3.81,3.19,2.523,3.029,3.906,2.289,2.195,2.788
1.297,1.313,1.556,1.894,1.275,1.671,1.319,1.548,1.617,1.287,1.451,1.382,1.468,1.461,1.518,1.801,1.342,1.468,1.842,1.596,1.721,1.5,2.39,1.569,1.536,2.327,2.14,1.579,1.837,1.658,2.382,1.907,2.086,1.457,1.946,2.261,1.982,1.915,2.323,1.834,2.438,2.753,2.412,2.612,2.359,2.179,2.042,3.618,3.148,2.425,3.306,2.869,2.145,2.278,2.589,2.381,2.274,2.617,3.849,2.308,3.965
1.144,1.392,1.178,1.41,1.461,1.291,1.377,1.573,1.517,1.58,1.22,1.636,1.759,1.716,1.505,1.611,1.43,1.759,1.771,1.767,1.635,1.832,1.605,1.417,1.481,1.391,2.142,1.68,1.781,1.715,2.418,2.061,2.332,1.771,1.576,3.32,2.125,2.093,2.213,2.061,2.693,2.238,2.127,2.551,2.467,2.11,2.703,3.062,2.289,2.16,3.079,2.051,1.844,3.025,2.329,1.588,2.646,2.462,2.585,2.849,3.482
1.356,1.274,1.526,1.337,1.587,1.818,1.3,1.415,1.434,1.646,1.452,1.517,1.847,1.604,1.428,1.815,1.658,1.847,1.804,1.296,1.28,1.802,1.936,1.487,1.522,2.758,1.964,2.122,1.673,1.665,1.871,1.91,2.131,1.317,2.347,2.483,2.015,1.985,2.59,2.366,2.161,2.134,2.573,2.037,1.888,2.996,2.071,2.753,2.61,2.475,2.9,2.991,2.766,2.68,2.765,2.903,2.4,2.592,3.87,3,2.672
1.248,1.774,1.683,1.291,1.546,1.382,1.523,1.237,1.479,1.614,1.303,1.477,1.674,2,1.608,1.567,1.459,1.674,1.441,2.057,1.959,1.953,1.734,1.61,1.491,2.007,1.389,1.632,1.986,1.552,1.883,1.765,2.132,1.631,2.257,2.309,2.679,2.125,1.65,2.464,3.141,2.373,2.207,2.471,2.21,2.01,2.613,1.838,2.843,2.577,3.11,2.004,2.562,1.994,2.307,2.547,3.065,3.436,2.721,2.754,2.537
1.268,1.326,1.466,1.293,1.241,1.316,1.216,1.126,1.419,1.966,1.395,1.687,1.672,1.407,1.745,1.378,1.689,1.672,1.535,1.518,1.31,1.771,1.972,1.711,2.118,1.549,2.238,1.886,1.458,1.43,2.452,2.187,2.298,2.074,2.043,2.436,1.891,2.46,1.887,1.894,1.591,2.207,2.64,1.776,2.3,1.933,2.612,2.993,2.803,2.469,2.729,3.601,2.583,3.097,2.265,2.135,2.49,2.471,2.064,2.385,2.96
1.13,1.592,1.349,1.258,1.225,1.18,1.36,1.316,1.787,1.543,1.31,1.43,2.011,1.574,1.526,1.744,1.506,2.011,1.521,1.581,1.871,1.358,2.347,1.869,1.707,2.161,2.073,1.589,1.781,1.581,1.712,1.777,2.135,1.911,2.115,2.479,1.994,2.793,1.798,3.349,2.359,2.637,2.28,1.942,1.954,2.176,2.118,2.857,2.269,2.181,2.726,3.977,2.352,1.935,1.943,3.015,2.161,2.652,2.899,1.802,2.605
1.225,1.373,1.191,1.341,1.43,1.379,1.482,1.446,1.535,1.571,1.769,1.749,1.516,1.963,1.892,1.476,1.275,1.516,1.537,2.014,1.575,1.494,1.861,1.484,1.547,1.386,1.887,1.459,1.709,1.459,2.496,2.016,2.35,1.865,2.066,2.683,1.81,1.995,2.284,1.995,1.903,1.957,2.046,2.702,1.88,2.468,1.963,2.813,2.703,2.266,3.229,3.296,2.826,1.94,2.971,2.888,2.498,1.945,2.329,2.939,4.035
1.267,1.39,1.228,1.426,1.379,1.503,1.26,1.561,1.324,1.416,1.266,1.443,2.203,1.742,1.663,1.414,1.27,2.203,1.648,1.666,2.104,1.187,1.593,1.644,1.784,1.995,2.131,1.73,1.598,1.75,2.167,1.76,2.928,1.854,2.418,2.364,1.792,2.231,2.073,1.82,2.282,2.57,1.889,2.112,2.277,2.42,3.226,2.167,2.023,2.818,3.871,2.035,3.235,2.967,2.186,3.185,2.642,2.597,2.556,2.113,2.698
1.209,1.301,1.203,1.217,1.393,1.754,1.499,1.613,1.303,1.527,1.528,1.323,1.709,1.643,1.585,1.597,1.492,1.709,1.44,1.638,2.214,1.782,1.925,1.552,1.722,1.742,1.773,1.536,1.541,2.609,1.748,1.831,1.841,2.02,1.7,2.47,1.919,1.716,2.152,1.828,2.876,2.472,2.592,1.801,2.648,3.181,2.701,3.24,3.139,2.475,4.217,2.752,3.592,2.096,2.339,3.884,2.729,2.722,1.588,2.315,1.811
